Grid_Size,Processes,Runtime,Speedup,Efficiency
64,1,0.05,1.00,1.00
64,2,0.03,1.77,0.89
64,4,0.02,2.36,0.59
64,8,0.01,3.88,0.48
64,16,0.01,3.59,0.22
128,1,0.33,1.00,1.00
128,2,0.17,1.94,0.97
128,4,0.10,3.44,0.86
128,8,0.05,6.48,0.81
128,16,0.04,9.24,0.58
256,1,2.35,1.00,1.00
256,2,1.19,1.97,0.99
256,4,0.61,3.83,0.96
256,8,0.32,7.26,0.91
256,16,0.20,11.83,0.74
512,1,17.11,1.00,1.00
512,2,11.03,1.55,0.78
512,4,4.62,3.70,0.93
512,8,2.35,7.28,0.91
512,16,1.24,13.79,0.86
1024,1,198.76,1.00,1.00
1024,2,107.90,1.84,0.92
1024,4,66.96,2.97,0.74
1024,8,61.60,3.23,0.40
1024,16,26.76,7.43,0.46
