base_resolution,threads,grid_size,time,iters,newton_iter,work_per_thread
64,1,64,0.0647463,1007,301,4096.0
64,2,91.0088,0.102823,1192,300,4141.3
64,4,128.5,0.141676,1511,300,4128.0
64,8,181.5176,0.231846,2033,300,4118.5
64,16,256.5,0.420728,2783,300,4112.0
128,1,128,0.345896,1511,300,16384.0
128,2,181.5176,0.49557,2037,300,16474.3
128,4,256.5,0.690834,2782,300,16448.0
128,8,362.5352,1.00592,3844,300,16428.9
128,16,512.5,1.54987,5357,300,16416.0
256,1,256,2.3183,2782,300,65536.0
256,2,362.5352,3.20153,3856,300,65715.8
256,4,512.5,4.4249,5362,300,65664.0
256,8,724.5704,10.6306,7488,301,65625.2
256,16,1024.5,26.2574,10486,302,65600.0
